순서,리뷰
2250,"신혼집에 둘 광파오븐 너무 좋아요
전자레인지, 오븐, 에어프라이어가 전부 다 되는 제품을 원했는데 저렴한 가격으로 잘 샀습니다
구운 치킨 해먹을 수 있어서 행복해요 ㅎㅎㅎ"
2251,광파하면 lg 오븐하면lg 렌지에 에어프라이기에 오븐까지 하나로...
2252,오븐을 사용하려고 구입했는데 레인지도 자주 사용해요.
2253,다용도로 사용하기 너무 좋아요 ~!
2254,"오븐 겸 전자레인지 구매할려고 찾다가 행사해서 저렴하게 오븐 구매하였습니다.
기능도 많고 성능도 좋아서 너무 좋습니다.
주방 색상과 잘 맞아서 너무 좋습니다."
2255,"처음 살 땐 금액이 부담이었는데.. 그래도 와이프님의 고충을 조금이나마 덜기 위해 큰 맘 먹고 사게 되었습니다.
의외로 디자인이 아주 단순하네요.. 기사가 직접 방문하셔서 설명도 해주셨는데, 사실 그냥 써 보면서도 알 수 있을 텐데, 기본적인 부분을 설명해 주시고 가시는 센스가 감사하고 좋았습니다. 배송은 함께 구매한 노트북과 같이 오진 않았지만, 아마 각각의 담당이 계셔서 그런 거라 이해했고요..
써 보니, 전자레인지와 오븐, 에어프라이어의 기능을 모두 갖춘 똑똑한 녀석이네요. 아직 많은 것을 해보진 않았고, 거의 기본적인 전자레인지 기능으로 쓰는데, 그것도 꽤 강력해서 이전 꺼 2분 돌렸을 것도 1분만 돌리면 충분하네요. 와우~~~
작동음향도 산뜻하고 마음에 들어요. 아직까지는 단점은 안 보이고 장점만 보이네요. 가열방식이 전자레인지와 달라서 쇠가 있는 용기를 써도 문제 없어 그것도 좋아요.
아무튼.. 아직까지는 10점 만점에 10점입니다. ^^ 뭐.. 단점이 앞으로도 잘 안보일 것 같네요.
좋은 제품 잘 산 것 같습니다. 냉장고도 세탁기도 건조기도 TV도 가족 노트북들도 포함해서 LG 제품을 많이 쓰고 있는데 또 하나 추가하니, 이 정도면 저도 LG 패밀리라 할 수 있지 않을까... ㅎㅎ
감사합니다 ~"
2256,전면이 글라스라 튼튼해요
2257,세척하기도 편하고 빵도 만들데 굿
2258,가성비 아주 좋습니다
2259,"2008년에 결혼할 때 LG DIOS를 구매해서 잘 사용하고 있었는데, 어느 순간부터 성능이 많이 떨어지더라고요.
그래서 이번에 새로 이 오븐으로 선택했습니다.
다른 브랜드 오븐은 생각하지도 않았죠.
일단 오븐의 디자인이 심플하면서도 고급스럽고 어디에 놔도 잘 어울려서 마음에 들어요.
안에 들어가는 음식의 용량도 꽤 넉넉하고 오븐의 여러가지 기능들도 마음에 들어요.
자체 청소가 되는 기능은 전에 사용하던 오븐에는 없던 기능이라 신세계예요.
이번 오븐은 핸드폰으로 여러가지 정보를 받을 수 있다는 것도 너무 마음에 듭니다."
2260,오래된 전자레인지를 떠나보내고 새로 들여온 광파오븐.. 다양한 기능이 있어 활용도가 높아서 맘에 드네요. 자주 청소를 했어야 했는데 게을러사 내부가 좀 지저분해졌지만 그래도 만족합니다.
2261,잘쓰고 있지만 번튼식 쓰자가 다이얼식 쓰려니 조금 불편함
2262,요리를 잘 하지는 못하지만 가끔 빵을 굽기도 하고 에어프라이보다 오븐 쓰기를 좋아해서 구입했습니다. 기대가 됩니다.
2263,아이들도 사용하기편하고 각종음식조리시 편해요
2264,복합오븐이니까 각각의 성능이 떨어지면 어쩌나 걱정했는데 에프면 에프 오븐이면 오븐 전자레인지까지 야무지게 요리해줍니다! 생각보다 사이즈가 크기는 하지만 여러개 사서 공간 차지하는거 생각하면 그렇게 크지 않다고 생각해요!
2265,사용하던 s사 오븐겸 전자렌지가 10 몇년 쓰다보니 열도 많이나고 해서 재활용으로 내어놓고 이제품으로 구입했슴 착한가격에 아주 만족합니다 광파오븐은 처음이라 신통방통 와이파이 설치후 저녁에 통닭 한마리 구웠더니 (메뉴:일반구이) 배달 통닭보다 훨~신 맛있네요 평소 튀긴통닭보다 소금구이 자주먹는편인데 이젠배달 바이바이 (요즘 통닭한번 시킬려면 닭값에 배달비까지 후덜덜) 요다음엔 생물오징어 사다 피데기 함만들어 묵어볼려구여 (좋아하는피데기 값도 장난 아님)~ 휴대폰을 리모컨처럼 사용하니 세상참 오래살고 볼일 (집에있던 토스터기랑 전자렌지 지인 과수원에 보냄 )더운 날씨에 열심히 설치해주신 김 정 * 기사님 수고 많으셨네요 잘 사용할께요~
2266,"스팀 기능이 있어, 청소가 간편하고
오븐이나 에어프라이 기능 작동 시에도 촉촉하게 음식이 조리됩니다.
전자레인지, 오븐,에어프라이 등이 하나로 해결되니 넘 좋아요!"
2267,스팀 기능 및 세척되어 좋네요
2268,집에 오븐이 있지만 제빵/제과 강사인 와이프의 필요성과 스팀 기능의 유용함에 전자레인지 대용으로 광파 오븐을 구입하게 되었습니다. 저는 잘 모르지만 와이프는 엄청 좋아하네요.
2269,기능이 많아서 좋습니다 청소가 조금 힘든거 빼고는 기능 성능 모두 만족하규있어요 :)
2270,"아주 잘 쓰고 있어요. 요리 후 바로 바로 청소해줘야하는데 살짝 미뤘더니 안에 스테인리스에 이미 기름얼룩이 잡혀버려 아쉽지만 ㅜㅠ 쓰기 좋네요.
프리스탠딩형이니 상품 안내 페이지 잘 확인하셔야 하시고 주변공간 확보 생각하셔야해요. 빌트인형 아니라서, 열기 빠질 공간 필요해요."
2271,다양한 기능이 있어서 오븐 렌지 에어프라이 다 됩니다 여러 기기를 살 필요가 없어요
2272,"전자레인지, 에어프라이, 오븐 모두 통합해서 이 가격에 용량도 32L라 넉넉해서 좋아요"
2273,디자인 깔끔해요 사용하기 편리해요
2274,잘 사용중입니다. 믿고 사는 엘지 가전 입니다.
2275,"사용하기 편하며, 다양한 요리가 됨"
2276,"오븐,전자렌지,에어프라이기,건조까지 따로 쓸 필요없이 하나로 다 사용할 수 있아서 자리도 조금 차지하고 넘 좋아요!"
2277,모드종류가 많아서 요리하기 편리해요
2278,"오븐, 에어프라이어, 구이, 찜, 토스트, 발효 등등 다양한 기능에 스팀까지 너무 편리하고 좋아요♡"
2279,"광파오븐 기존에도 이용했었는데 변경 모델
기능은 좋아요. 기존 화이트
였는데 블랙했는데 유광이랑 지문이
좀 남네요 . 기능 선택하는부분 UX가 좀 혼동되게 되어있어서 기존꺼 보다 사용이 불편해요. 기능 선택 추가/ 시작 선택 /정지취소가 2개 ~3개기능이 혼재되어 있고 매번 어떤 순서로 해야할지 혼동됩니다.
자동 설정시 특히요. LCD 디스플레이 보고 다이얼 누르고 버튼 누르고…모지??? 합니다…"
2280,디자인도 이쁘고 성능도 너무 좋아요 너무 맘에듭니다
2281,잘 사용하고 있습니다
2282,오븐이 필요해서 구잊했는데 사용도 편하고 여러가지 기능도 있어요 좋아요
2283,"이걸로 다양한 요리 가능해서 좋아요
베이킹도 가능하답니다!!"
2284,좋아요 잘쓰겠습니다
2285,너무 잘 쓰고있어요! 기능이 많아서 좋아요 생선도 굽고 빵도 만들어요!
2286,"오븐, 전자레인지등 기능이 다양해서 사용하기 편해요"
2287,광파오븐으로 조리하니 음식이 더 맛있어요👍🏽
2288,모든기능이 하나에 다 있어 좋아요
2289,"기존에 S사 오븐레인지 약 9년 사용 하였습니다. 그런데 갑자기 액정이 나가며 발효 및 다른 기능 등이 작동이 잘 안되어서 역시 가전은 LG라 고민없이 LG로 갈아탔습니다.


너무 잘 되고 사용하기 좋습니다!"
2290,워낙 기능이 많아서 집에서 요리해서 먹는일이 덕분에 늘었어요! 자동요리 하나씩 도장깨보고 있습니다ㅎㅎ 크기가 커서 구매고민했었는데 사길 잘했어요
2291,"굿~~ 너무 잘쓰는중 깔끔하고 성능 좋아여 ㅎㅎ
어플연동해서 쓰니 청소주기도 알려주고 조리중 음식 뒤집으라는 알림까지 떠요~ 메뉴랑 레시피 검색 오븐전송도 편하고 주방을 좀 넓게 쓸 수 있어서 대만족했습니당.
트레이 설거지 하는게ㅣ 좀 귀찮지만ㅋ
다음에 이사가더라도 꼭 광파오븐 살거에여... 최고"
2292,"가래떡 굽고 만두 굽고 고구마 구우려고 샀어요.
너무 만족합니다.
요리가 쉽고 청소도 쉬워요."
2293,아이키우면서 오븐기 사용할 일이 많아서 구매했어요. 너무 마음에 들어요:)
2294,진짜 최신 디자인과 고민 많이하고 결국엔 가성비로 가자해서 구매했는데 넘 좋은데요? 고가상품과 비교했을때 기능도 비슷하고 어플로도 관리되고 엘지니까 10년 무상보증은 당연하고 블랙이 훨씬 세련되보이네요~
2295,"할줄 아는게 없어서 아직 전자렌지로 많이 쓰는데
음식이 빨리 데워지는거 같애요ㅋ"
2296,"닭가슴살 구이를 잘 할 수 있어 샐러드에 많은 이용합니다.
구이와 오븐 전자레인지 기능까지 잘 이용하고 있어요"
2297,"요리를 잘하게 된 느낌이에요.
추천해요~"
2298,엘지 광파오븐 쓴지 10년이라 만족스러운 경험이 있어 재구매했습니다. 디자인도 더 다듬어지고 이뻐졌네요. 만족스러운 사용 또 기대해봅니다.
2299,삼섬에서 넘어왔어요. 가전은 엘지니까요
2300,편리한 사용과 요리도척척 너무나 좋아요~^^
2301,"오브제 제품이랑 비교 한 결과 바로 디오스로 결정! 똑같은
기능인데(?) 오브제 마크 하나가 40만원이 넘다니 디오스 쓰렵니다~~ 오븐, 에어프라이기, 토스터기, 전자레인지 이거 하나로 끝!"
2302,전자렌지와 오븐 겸용이라 구입했는데 좋습니다!
2303,구입후 스테이크 주말에 자주해 먹어요
2304,"구입당시 제품 생산과 출고에 기다림이 좀 있었지만, 기다린만큼 너무나 만족스러운 오븐이에요. 기사님 방문 설치 후 가장 먼저 냉장실에 묵혀두었던 빵을 오븐 레시피대로 4단 구이전용팬에 구워봤는데 갓나온 빵처럼 맛있어서 놀랐어요. 역시 LG디오스 오븐의 명성이 느껴지는 맛이었습니다. 기능도 다양하고 잘만 활용할 수 있다면 정말 좋은 오븐인 것 같습니다. 아직 4단 조리시에는 음식물이 열선이 닿을까봐 조마조마해서 좀 쓰기가 겁나지만 대부분 1,2단 오븐 기능만 써도 충분히 맛있게 조리가 되어 따로 에어프라이어가 필요가 없네요. 전자레인지 기능이 있어 전자레인지도 따로 설치하지 않아도 된다는 점 역시 큰 장점입니다. 대체로 아주 만족합니다."
2305,애어프라이어 오븐 그릴 모든 기능 있어 좋아요
2306,"디자인 맘에들고 기능도 많네요
가성비 좋아요"
2307,"요리를 잘하게 된 느낌이에요.
추천해요~"
2308,엘지 광파오븐 쓴지 10년이라 만족스러운 경험이 있어 재구매했습니다. 디자인도 더 다듬어지고 이뻐졌네요. 만족스러운 사용 또 기대해봅니다.
2309,삼섬에서 넘어왔어요. 가전은 엘지니까요
2310,편리한 사용과 요리도척척 너무나 좋아요~^^
2311,"오브제 제품이랑 비교 한 결과 바로 디오스로 결정! 똑같은
기능인데(?) 오브제 마크 하나가 40만원이 넘다니 디오스 쓰렵니다~~ 오븐, 에어프라이기, 토스터기, 전자레인지 이거 하나로 끝!"
2312,전자렌지와 오븐 겸용이라 구입했는데 좋습니다!
2313,구입후 스테이크 주말에 자주해 먹어요
2314,"구입당시 제품 생산과 출고에 기다림이 좀 있었지만, 기다린만큼 너무나 만족스러운 오븐이에요. 기사님 방문 설치 후 가장 먼저 냉장실에 묵혀두었던 빵을 오븐 레시피대로 4단 구이전용팬에 구워봤는데 갓나온 빵처럼 맛있어서 놀랐어요. 역시 LG디오스 오븐의 명성이 느껴지는 맛이었습니다. 기능도 다양하고 잘만 활용할 수 있다면 정말 좋은 오븐인 것 같습니다. 아직 4단 조리시에는 음식물이 열선이 닿을까봐 조마조마해서 좀 쓰기가 겁나지만 대부분 1,2단 오븐 기능만 써도 충분히 맛있게 조리가 되어 따로 에어프라이어가 필요가 없네요. 전자레인지 기능이 있어 전자레인지도 따로 설치하지 않아도 된다는 점 역시 큰 장점입니다. 대체로 아주 만족합니다."
2315,애어프라이어 오븐 그릴 모든 기능 있어 좋아요
2316,"디자인 맘에들고 기능도 많네요
가성비 좋아요"
2317,"아직사용해보진않았지만 이쁘고 크고
기능들도많네요 잘써보도록 하겠습니다"
2318,기능이 많고 레인지 파워가 정말 좋습니다! 회전하지 않아서 걱정했는데 회전 필요 없을 정도로 성능이 좋아요! 가격만 조금씩 내려주세요 감사합니다!
2319,"설치 잘 되었어요~
디자인 깔끔하고 작동 잘 됩니다~"
2320,"엘지 광파오븐 10년전 분터 꾸준히 사용하고
있습니다 하나에 여러 기능이 있고 기능마다
성능도 괜찮고 여튼 다용도로 잘 사용하고 있습니다"
2321,"키판도 고급지고 다양한기능이 있어서 좋습니다.
다만 기능이 많은 만큼 다 숙지해야돼서 걱정이네요!"
2322,"쿠킹도 잘되고 렌지 기능도 잘됩니다
공간이 넓어서 고기구울때 야채랑 함께해서 좋습니다"
2323,Lg 전자레인지 사용하다가 lg 광파오븐으로 바꾸게 되었습니다 아직까지는 만족하는데 제발 고장 안나고 오래 사용했으면 좋겠습니다
2324,디자인도 예쁘고 성능도 좋네요...사용도 편리하고 아주 좋습니다..
2325,"사이즈 딱 맞아요~
빌트인 전기오븐의 레인지기능은 성능 저하

광피오븐 레인지기능!성능 굿굿굿!"
2326,"기존에 있던 에어프라이어가 녹이 슬어서 교체하려던 와중에 에어프라이어, 오븐, 전자렌지 기능이 모두 있다해서 구입했습니다.
생각했던 것보다 훨씬 좋네요. 특히 프라이팬에 고기 굽는 것보다 더 좋습니다."
2327,"10년정도 전에 사용하던 광파오븐을 더이상 사용할수없어서 , 투박하기도 한 바람에 일반전자렌지로 사야겠다 싶었어요ㅎ 그런데 처음살때 그때가 50만원 이상이였는데 지금도 이 가격면 더 저렴한 느낌도 나서 광파로 선택 ! 깔금하고 앞으로 여러가지 모드로 사용해봐야겠어요 ㅡㅎ"
2328,"이번에 구입한 lg가전중에 가만 많이 쓰는 광파오븐입니다.
오븐이면 오븐, 레인지면 레인지 부족할게 없습니다.

생각보다 큰 사이즈가 살짝 부담스럽긴 하지만 레인지, 에어프라이기 둘다 없는 상태라면 두말할 것 없이 광파오븐 구매하시는걸 추천드립니다."
2329,오븐 ㆍ전자레인지ㆍ 에어프라이등 다양한 기능을 사용할 수 있어서 좋아요 우리 아이들에게 제일 인기 좋은 메뉴는 에어프라이 모드에서 구운 닭다리 구이입니다 AS 고려해서 LG제품으로 구매 했습니다
2330,주방 공간이 부족하여 고민하다 여러 기능이 가능한 광파오븐으로 사게 됐어요. 생각보다 커서 한자리 차지하긴 하지만 기능도 많고 여러 방법으로 응용도 좋을 것 같아요:) 아직 사용한지 일주일 밖에 안되서 여러 기능을 못해봤지만 피자 뎁히는데 스팀오븐 기능으로 하니 촉촉하고 완전 만족!
2331,"기존에 쓰던 전자레인지 정리하고 새로 들였어요.
에어프라이기도 자리차지해서 광파를 주문했는데
좋았으면 좋겟어요"
2332,"10년 전 구매한 오븐이 갑작스레 고장났습니다. 무엇을 사야하나 고민하던 중 라이브방송 보고 바로 구매했습니다. 오~~~~ 디자인 깔끔! 다양한 기능! 우수한 성능!
대만족입니다.^^"
2333,"렌지 오븐 에어까지 하나로 다되니 자리차지않고 너무 좋아요
좋아하는 군고구마 너무 맛있게 구워져요
자동요리 있어 편해요"
2334,"동일디자인의 오브제컬렉션+베이지컬러가 10여만원 더비쌌지만
광파오븐은 때가 탈 수 도 있을것같기에 디오스 블랙컬러로 저렴하게 구매하였습니다
기능상 차이는 없는걸 확인했고 실물도 꽤 고급스러워보입니다
다만 생각했던것보다 매우 많이 커서 꽤 놀랐습니다...
전자레인지+에어프라이어+오븐+스팀 모든 기능을 합쳤기에 사이즈가 커져버릴 수 밖에 없었나 싶지만 각각 구비하는것에 비해서는 공간적으로 이점이 많을 것 같습니다"
2335,청구할인 캐시백 되니까 크게 금액 차이가 안나서 공홈에서 구매했어요 배송일 지정도 되고 좋아요
2336,"이사하면서 엘지전자 제품으로 맞추고 싶어서 급하게 주문했으나 이사일에 맞게 다 배송 및 설치가 되서 좋았습니다!
광파오븐 역시 작동 잘되고 기능도 좋아요!"
2337,"너무잘쓰고있어요
특히생선구울때냄새가거의안나서좋아요
기능도여럿이고
와이파이연결요리도굿ㅡㅡㅡㅡ"
2338,"전부터 사고싶었던 제품이라 라이브방송때 구매했어요
청구할인에 캐시백 그리고 무이자 할부 후기이벤트까지
알차게 혜택받고 구매할수 있어서 행운이네요
15년쓴 전자렌지 상태가 안좋아져서 전자레인지를 구매하려다 에어프라이어 전자레인지 오븐까지 한개로 사용하려고 광파 스팀오븐 선택했고요
구매후 소감은 왜 이제 샀지?입니다
전 에어프라이어도 평소 잘쓰고 약간의 베이킹도 하고 전자레인지 기능도 자주쓰는지라 광파오븐 알차게 사용할 수 있을거 같아요
비록 화이트가 아닌 블랙모델만 행사해서 아쉽지만 받고나니 좋아요 너무 잘산거 같아요
요리가 즐거워지겠어요"
2339,"신형 광파오븐 기능중 에어수비드 기능 제외하고 다른 기능은 동일한것 같고 블랙의 깔끔한 색상이 좋습니다.
기존의 전자레인지 에어프라이어 대신 용량도 크고 다양한 요리에 만족합니다."
2340,"전자레인지와 에어플라이어를 정리하며 혹시나 하는 걱정을 했는데 진작살걸 후회했어요
특히 스테이크가 일품이네요 정말 최고입니다"
2341,"디자인부터 너무 예쁘고 용량도 커서 딱 좋네요
블랙 색상이 세련되어 보이네요
기능도 다양해서 요리를 자주하게 됩니다."
2342,에어프라이어기가 오래돼서 교체할 만한 오븐을 찾다가 엘지 광파오븐을 알게 되었습니다. 처음에는 오브제 라인을 보다가 디오스와 거의 같은 제품이면서도 20만원 정도 더 싸서 디오스로 구매하게 되었습니다. 받고 나서 통닭을 구웠는데 25분만에 되게 잘 구워져서 신기했습니다. 스팀 청소 기능도 있어 예전 에어후라이어기보다 훨씬 위생적이네요. 요즘 에어후라이어기도 기본 20만원 하는 것 봐서는 충분히 가성비 좋은 제품인 것 같습니다.
2343,"이사하면서 전자레인지 등이 필요해서 LG 홈피 뒤져보다가,
레인지 기능에 오븐, 에어플라이까지 탑재한 광파오븐을 발견,
기술의 LG니까 당연히 성능은 믿었고,
오브제도 이쁘지만 블랙이 깔끔해보여서 선택했습니다,
다양한 광파오븐 중에 이걸 고른 건 기능이 다양해서인데요,
종종 베이킹도 하는지라 용량과 기능이 중요했더랬어요,
블로그랑 후기들 찾아보니까 모두들 대만족하시길래~
전원 들어오면서 로고송으로 알림 울리는 것도 귀엽고요~
기능에 따라 철망 또는 어떤 종류의 트레이를 어떤 위치에 놓아야하는지 알려주는 기능도 마음에 듭니다
스팀으로 속까지 촉촉하게 익혀주고요,
기존에 사용했던 복합레인지에 비해서 짧은 시간에 충분히 익혀주는 것도 장점입니다
오븐도 예열시간없이 바로 사용할 수 있는 것도 좋더라고요
아직 빵을 안 구워봤는데 너무 기대됩니다^^"
2344,한대로 다 해결. 깔끔해요
2345,"광파오븐 저렴하게 잘 샀습니다.
기능도 좋고, 감사합니다."
2346,"지정날짜에 빠르게 와주셨고 설치도 빠르게 완료했네요
기능도 많고 아주 좋습니다"
2347,디자인 및 외관은 매우 고급스럽네요. 동안 전자레인지만 써 왔는데 이번 오븐으로 갈아타고 여러가지 기능 활용해 보겠습니다 기대됩니다.
2348,잘도착했네요 감사합니다 설치는 안되는듯 저한테 전달만 하셨지만 그래도 잘 작동하네요
2349,"이사하면서 전자렌지를 살까 이제품을 살까 고민하다 이걸 택했는데 완전 만족합니다
집에 있는 에어프라이어 보다 쓰기 훨씬 편하고 기능도 다양해서 매일 정말 잘쓰고 있어요
스팀청소 기능 있다보니 청소도 넘 쉬워요"
2350,색상도 고급스러운 블랙이고 깔끔합니다~기능은 오브제랑 같아서 만족하고 우선 몇가지 해 보니 전자레인지나 에어 프라이어와는 완전다른 요리가 되네요~ 요리하는 재미가 쏠쏠하겠어요~^^
2351,"에어프라이어가 망가져서 새로 구입을 고민하다가
집안에 가전제품 부피줄일겸 조금 더 돈을투자해서 광파오븐으로 바꿨는데 좋아요 ㅎ"
2352,"구버전 사용했었는데
고장나는바람에 에프보다는 광파오븐이 더 편해서 주문했어요 ㅎ
쓰던거랑 연식만 틀리고 똑같네요 ㅎ
그래도 현재 버전이라 맘에듭니다 ㅋㅋ
조만간 애들 쿠키구워줘야겠네요 ㅎ"
2353,배달빠르고 기사분 친절하시고 다용도로 사용하기 좋을꺼 같아요~~^^가전은 역시 엘지^^
2354,이전에도 디오스 광파오븐 사용했는데 워낙 만족하면서 썼던터라 또 디오스 광파오븐으로 바꿨답니다. 오브제랑 기능도 같은데 사실 오브제 색상보다 블랙가전이 좋았던 터라 가격까지 착하게 사서 더 좋네요^^
2355,"정말 많은 고민 끝에 구매한 광파오븐입니다. 모든 사이트를 가격비교해봐도 엘지공홈이 제일 저렴하네요 색상때문에 오브제도 고민했지만 그래도 가격적인 부분에서 메리트가 있어 적극 추천드립니다.
시험삼아 핫도그 돌려서 먹었는데 완전.. 맛있습니다. 에어프라이 기능이 잘되서 좋아요 그런데 자동 조리부분에서 1개 선택이 없어서 좀 아쉽네요 2개부터 선택이 가능해서 ㅎ 저같은 사람한테는 양이 많은 것 같아요"
2356,"많은 고민끝에 구매한 상품.... 도착하자마자 밥만 데워서 먹다가 고등어구이도전~~~ 렌즈대에 기름 안튀고, 후라이팬 설겆이 안해도 되고, 15분만에 속은 촉촉, 겉은 바삭~~ 다른반찬 빼는 동안 구이완성~~
냄새제거하려고 탈취를 했지만 냄새는 하루정도 나더라고요. 그래도 편해서 좋아요~~"
2357,"오븐.에프.레인지 기능 복합이라 여러 가전
정리하고 깔끔한 느낌입니다
오븐은 처음 사용해 보는데 좋아요
음식 맛이 좀 더 살아난 것 같아요
배송 기사분도 너무 친절하시고
제품 사용법도 잘 설명해 주셨어요"
2358,"스팀기능이 있어서 토스트랑 피자 구울때 그리고 냉동전 먹을 때 너무 좋습니다!
문이 살짝 가벼운것 같아 조금 그렇지만 바꾸길 잘 했네요!
기계 잘 못다루시는 분들은 공부가 조금 필요합니다."
2359,"기존에도 엘지 광파오븐을 사용했어요. 워낙 만족도가 높았고 타사것과 비교해봐도 여전히 엘지 디오스 광파오븐이 좋아서 구매했습니다.
기능이야 말해 뭐해요. 다양하게 활용가능해서 좋고, 오브제보다 검정색 디오스가 마음에 들어서 산건데 같은 기능에 가격까지 착하니 최고네요~^^
기존엔 사용 후 청소가 좀 힘들었는데 스팀기능이 있으니 확실히 편리하네요. 너무 좋습니다~!"
2360,잘쓰겠습니더 ㅋㅋ 맛있는요리
2361,사용이 편리하네요. 열심히 학습중~
2362,화면에서 보는것처럼 너무 좋네요~ 다양한 요리가 가능할것같아요! 그동안 렌지따로 에어프라이기따로 사용했는데 하나로 가능할 것같아 좋아요~ 배송기사님도 친절해서 만족합니다.
2363,생각보다 사이즈가 큰데 인덕션밑에 빌트인할부분에 잘들어갑니다~~ 고급스러워보이고 탄탄하니 아주 맘에들엉요 #이벤트참여
2364,"#이벤트참여
사용하던건데 주말에 마침 저렴하게 할인 카톡이와서
하나 더 구매했습니다 좋습니다"
2365,"집에서의 생활이 많아져 구입허게 되었습니다. 이것저것 요리하는 재미와 맛을 느낄 수 있어 즐겁네요.
아이들도 과자 만들기, 빵 만들기 같이하니 가족간 유대감도 높아지구요."
2366,"광파오븐 사용한지 3주차 되었는데

전자레인지만 사용하다 여러기능되는 광파오븐 사용하게 되어서 여러모로 만족하며 지내고 있습니다 만족하고 이뻐요!!"
2367,"사진에서는 유광이라 상당히 번들거려보여서
오브제라인으로 변경할까생각했는데
실물보니 전혀 그렇치않고 고급스럽습니다
오브제라인과 기능상 차이는 전혀없고
색만다른데 20만원정도 더 부담해야되서
고민 많이했는데 디오스 이제품도 참 괜찮습니다
특히 lg공홈에서 구매시 가격도 참 좋습니다"
2368,"아주 잘 사용하고 있습니다
매우 만족합니다"
2369,"신혼이라면 광파오븐은 필수입니다❤️ 다양한 요리를 간편하게 할 수 있어 좋아요. 특히 청소도 자체적으로 할 수 있어서 관리하기도 편해요. 단, 늘러붙은 것은 따로 청소를 해야하긴해요. 앞으로 더 많이 활용할꺼에요!"
2370,전자파 걱정없이 안심하고 사용할 수 있어서 좋아요.
2371,다양하게 전자레인지 대용으로 잘쓸수 있어서 좋아요
2372,"#LG가전구독리뷰콘테스트 #무상AS #무상교체 #초기비용절감
다른 제품에 비해 저렴하면서도 성능이 좋아 가성비가 좋은 제품임"
2373,"정말 잘 사용해고 있습니다. 오븐, 저자레인지 기능등 하나의 제품으로 다 할 수 있어 편리합니다. 저렴하게 구매 잘 했습니다. ^^"
2374,전자렌지 에어프라이기 오븐 기능을 한번에 해결 할수있어서 좋아요
2375,블랙이라 고급스럽고 전에 쓰던 광파오븐보다 조용하고 좋아요~
2376,배송기사분 친절하게 설명해주시고 제품 또한 편리하게 작동할수 있어 좋아요.
2377,집에서 쿠키도 만들어 먹고 아이와 즐거운 여름 방학을 보내고 있습니다. 오븐 한대 있는것도 나쁘지 않네요^^
2378,좋아요 사용도 많이하고 유용하게 사용해요
2379,"오븐 전자렌지 에어프라이를 하나로 통합하려고 주문했습니다. 제품 좋네요. 조리 중에 스팀 추가되는 것도 좋고 탈취 기능, 청소 기능도 좋네요. 만족하며 쓰고 있습니다"
2380,예뻐요 생선구이를 간편하게 할수있게됬어요
2381,지금은 레인지 기능만 사용하고 있어다른 기능은 잘 모르지만 레인지 기능도 좋아요
2382,"바닥이 회전 안되는걸 모르고 샀는데., 그거 감안하면 그래도 잘 되는 편이예요."
2383,음식도 너무 맛있게 되고 전자레인제 상위호환인것같아요
2384,"요리의 종류가 폭 넓고 다양해져서 좋고, 요리가 한층 더 즐거워졌어요."
2385,이사후 기존오븐 폐기후 새로 구입했는데 처음엔 시행착오도 있었지만 익숙해지니 사용하기 편하고 디자인도 깔끔하고 좋아요~~
2386,"너무 좋아요
색상도 블랙 좋고, 크기도 좋습니다.
아주 좋은 선택인 듯 합니다."
2387,타사 오븐 사용하다 엘지디오스 광파오븐 구매해서사용해 보았는데 매우 만족 합니다 디오스와 오브제는 컬러만 다르고 기능은 같은것 가습니다 참고하세요
2388,"생각보다 크기가 커서 놀래긴 했지만..ㅎ
기능이나 성능면에선 다른 제품을 구매하지 않아도 되니 그걸로 충분한 것 같아요!!
여러 요리 도전해보고 있는데 돌려놓기만 하면 되니 너무 편하네요~
역시 가전은 뭐니뭐니해도 손이 덜 가는 제품이 제일일것 같아요!! 잘 써보겠습니다:)"
2389,"다양한 기능은 있지만 전자렌지, 오븐 위주로 쓰고 있어요"
2390,우선 모든가전 합해놔서 공간활용도 좋고 성능도 넘 맘에들어요..QR로 음식하는 기능은 많이 없는지 등록안된 상품이란 메세지가 많이떠서 아쉬운 부분이예요..
2391,"구이, 베이킹, 레인지, 오븐 등 너무나 많은 기능이 있어 좋습니다 특히 자동기능이 다양해서 종류만 선택하면 되고 앱에서 별도 레시피에 따른 기능을 다운받아 사용할수 있어요. 내부도 넓어서 활용도가 좋아요.

이제 6개월정도 사용했는데 대만족 입니다. 생선은 냄새깨문에 별도제품을 사용했었는데, 광파오픈 사용해보니 바로 탈취기능을 활용해 귤껍질을 넣고 냄새를 손쉽게 제거 하니 좋네요 구이는 불맛도 나고 정말 잘 되네요.

전체적으로 화력이 일반제품에 비해 센편이라 단시간에 완성됩니다. 지금까지 사용해온 레인지+오븐 등 중에서 아직까지는 단연 최고 만족 상품입니다. 이미 추천 많이 했고 강추 입니다. 이벤트 있을깨 한대 더 구매하고 싶네요^^"
2392,"배송받고보니 우리집엔 역시 블랙이 잘 어울립니다.^^
오브제 제품과 똑같은 제품이고 단지 브랜드 네임이 디오스라는 이유로 가격이 반값, 가성비 최고의 제품 이네요."
2393,"고민 끝에 구매했는데..
구입한 것 잘한것 같아요.
편리하고 기능도 많아 사용하기 딱 좋아요."
